timestamp,ghi
2015-01-20 00:00:00,148.0
2015-01-20 00:00:30,146.0
2015-01-20 00:01:00,145.0
2015-01-20 00:01:30,143.0
2015-01-20 00:02:00,141.0
2015-01-20 00:02:30,140.0
2015-01-20 00:03:00,138.0
2015-01-20 00:03:30,137.0
2015-01-20 00:04:00,135.0
2015-01-20 00:04:30,134.0
2015-01-20 00:05:00,133.0
2015-01-20 00:05:30,131.0
2015-01-20 00:06:00,129.0
2015-01-20 00:06:30,128.0
2015-01-20 00:07:00,126.0
2015-01-20 00:07:30,125.0
2015-01-20 00:08:00,123.0
2015-01-20 00:08:30,121.0
2015-01-20 00:09:00,119.0
2015-01-20 00:09:30,117.0
2015-01-20 00:10:00,116.0
2015-01-20 00:10:30,115.0
2015-01-20 00:11:00,113.0
2015-01-20 00:11:30,112.0
2015-01-20 00:12:00,111.0
2015-01-20 00:12:30,109.0
2015-01-20 00:13:00,107.0
2015-01-20 00:13:30,106.0
2015-01-20 00:14:00,105.0
2015-01-20 00:14:30,104.0
2015-01-20 00:15:00,103.0
2015-01-20 00:15:30,102.0
2015-01-20 00:16:00,101.0
2015-01-20 00:16:30,99.0
2015-01-20 00:17:00,98.0
2015-01-20 00:17:30,96.0
2015-01-20 00:18:00,95.0
2015-01-20 00:18:30,93.0
2015-01-20 00:19:00,92.0
2015-01-20 00:19:30,90.0
2015-01-20 00:20:00,89.0
2015-01-20 00:20:30,88.0
2015-01-20 00:21:00,87.0
2015-01-20 00:21:30,85.0
2015-01-20 00:22:00,83.0
2015-01-20 00:22:30,81.0
2015-01-20 00:23:00,81.0
2015-01-20 00:23:30,80.0
2015-01-20 00:24:00,79.0
2015-01-20 00:24:30,78.0
2015-01-20 00:25:00,77.0
2015-01-20 00:25:30,76.0
2015-01-20 00:26:00,74.0
2015-01-20 00:26:30,72.0
2015-01-20 00:27:00,72.0
2015-01-20 00:27:30,70.0
2015-01-20 00:28:00,69.0
2015-01-20 00:28:30,68.0
2015-01-20 00:29:00,67.0
2015-01-20 00:29:30,66.0
2015-01-20 00:30:00,64.0
2015-01-20 00:30:30,63.0
2015-01-20 00:31:00,61.0
2015-01-20 00:31:30,60.0
2015-01-20 00:32:00,59.0
2015-01-20 00:32:30,58.0
2015-01-20 00:33:00,56.0
2015-01-20 00:33:30,55.0
2015-01-20 00:34:00,53.0
2015-01-20 00:34:30,52.0
2015-01-20 00:35:00,51.0
2015-01-20 00:35:30,50.0
2015-01-20 00:36:00,49.0
2015-01-20 00:36:30,48.0
